,,,,,,,,,,,,,Individual Badge Doses (in microSV) for personnel type,,,,,,,,,Surrogate for Patient Dose
Procedure date,Patient,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,Breed,"Sex (FI, FS, MI, MN)","Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Faculty,Tech 1,Resident 1,Resident 2,TEE,Anesthesia,Patient,Total fluoro time (sec),Total fluoro time (min),DAP Total (Gycm2)
10/27/2021,Riddler,265286,11.3,6/20/2021,129,4.30,Canine,BPV,90,BPV,90,N,9.04,0.21,110.11,0.64,n/a,3.71,NB,1265,21.08,13.00
10/30/2021,Zoie,341157,5.3,3/8/2013,3158,105.27,Canine,PMI,53,PMI,53,N,1.43,n/a,16.53,n/a,n/a,0.33,n/a,317,5.28,0.91
11/3/2021,Archer,266052,15.3,12/26/2020,312,10.40,Canine,BPV,90,BPV,90,N,2.97,0,32.87,0.49,n/a,25.5,NB,1068,17.80,6.70
11/4/2021,Einstein,266908,36.1,11/4/2009,4383,146.10,Canine,PMI,66,PMI,66,N,6.76,0,25.71,n/a,n/a,0,n/a,102,1.70,4.70
11/10/2021,Blake ,266575,21.9,1/1/2021,313,10.43,Canine,BPV,55,BPV,55,N,2.77,0.25,21.65,1.84,9.25,18.39,NB,549,9.15,2.60
11/12/2021,Cleo,267139,28.8,11/11/2016,1827,60.90,Canine,PMI,106,PMI,106,N,9.89,0.11,30.12,n/a,n/a,4.83,n/a,222,3.70,5.80
11/24/2021,Bailey,267287,3.4,7/24/2021,123,4.10,Canine,PDA,65,PDA,65,N,0.2,0.02,5.74,0.1,1.07,0.87,n/a,339,5.65,0.97
12/1/2021,Niko,1086650,3.2,8/22/2021,101,3.37,Canine,BPV,40,BPV,40,N,2.97,0.05,19.78,0.03,n/a,1.51,NB,318,5.30,0.90
12/15/2021,Margo,267046,4.2,7/23/2021,145,4.83,Canine,BPV,120,BPV,120,N,0.13,0.16,11.63,1.07,n/a,5.28,NB,425,7.08,2.20
12/22/2021,Prudence,268396,20.4,11/21/2015,2223,74.10,Canine,PMI,123,PMI,123,N,1.05,0,37.32,1.12,3.92,0.56,n/a,267,4.45,3.20
12/29/2021,Wile E,268555,19.9,1/23/2021,340,11.33,Canine,PDA,70,PDA,70,N,3.43,0.12,9.27,1.36,2.17,12.19,n/a,368,6.13,8.20
1/5/2022,Kobra,268314,4.5,5/23/2020,592,19.73,Canine,PDA,94,PDA,94,N,1.2,0,5.99,n/a,0.75,3.68,n/a,212,3.53,1.50
1/6/2022,Pepper,268723,25.5,2/18/2021,322,10.73,Canine,PDA,135,PDA,135,N,1.38,0.06,4.17,n/a,0.89,1,n/a,200,3.33,2.00
1/19/2022,Gus,268280,3.98,10/17/2021,94,3.13,Canine,PDA,78,PDA,78,N,0.02,0,0.59,1.02,0.03,1.54,n/a,156,2.60,0.30
1/26/2022,Charlie,269411,8.04,10/8/2012,3397,113.23,Canine,PMI,45,PMI,45,N,11.24,4.5,98.66,n/a,n/a,5.12,n/a,556,9.27,5.20
2/1/2022,Kimberly Elise,202898,34,3/5/2009,4716,157.20,Canine,PMI,140,PMI,140,N,7.02,0.28,21.63,n/a,n/a,3.74,n/a,178,2.97,4.50
2/2/2022,Abby,268254,7.8,9/3/2021,152,5.07,Canine,BPV,55,BPV,55,N,0.05,0,15.44,1.26,n/a,2.84,NB,155,2.58,1.40
2/2/2022,Tiburon,265264,30.2,2/16/2020,717,23.90,Canine,BPV,49,BPV,49,N,0.54,0.44,2.87,10.9,n/a,49.99,NB,601,10.02,9.90
