Procedure date,Patient...2,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,"Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Total fluoro time (sec),Total fluoro time (min),ID,Occupation,Dose
2021-10-27T00:00:00Z,Riddler,265286,11.3,2021-06-20T00:00:00Z,129,4.3,Canine,BPV,90,N,1265,21.08333333,1,Faculty,9.04
2021-10-27T00:00:00Z,Riddler,265286,11.3,2021-06-20T00:00:00Z,129,4.3,Canine,BPV,90,N,1265,21.08333333,1,Tech 1,0.21
2021-10-27T00:00:00Z,Riddler,265286,11.3,2021-06-20T00:00:00Z,129,4.3,Canine,BPV,90,N,1265,21.08333333,1,Resident 1,110.11
2021-10-27T00:00:00Z,Riddler,265286,11.3,2021-06-20T00:00:00Z,129,4.3,Canine,BPV,90,N,1265,21.08333333,1,Resident 2,0.64
2021-10-27T00:00:00Z,Riddler,265286,11.3,2021-06-20T00:00:00Z,129,4.3,Canine,BPV,90,N,1265,21.08333333,1,Anesthesia,3.71
2021-10-30T00:00:00Z,Zoie,341157,5.3,2013-03-08T00:00:00Z,3158,105.2666667,Canine,PMI,53,N,317,5.283333333,2,Faculty,1.43
2021-10-30T00:00:00Z,Zoie,341157,5.3,2013-03-08T00:00:00Z,3158,105.2666667,Canine,PMI,53,N,317,5.283333333,2,Resident 1,16.53
2021-10-30T00:00:00Z,Zoie,341157,5.3,2013-03-08T00:00:00Z,3158,105.2666667,Canine,PMI,53,N,317,5.283333333,2,Anesthesia,0.33
2021-11-03T00:00:00Z,Archer,266052,15.3,2020-12-26T00:00:00Z,312,10.4,Canine,BPV,90,N,1068,17.8,3,Faculty,2.97
2021-11-03T00:00:00Z,Archer,266052,15.3,2020-12-26T00:00:00Z,312,10.4,Canine,BPV,90,N,1068,17.8,3,Tech 1,0
2021-11-03T00:00:00Z,Archer,266052,15.3,2020-12-26T00:00:00Z,312,10.4,Canine,BPV,90,N,1068,17.8,3,Resident 1,32.87
2021-11-03T00:00:00Z,Archer,266052,15.3,2020-12-26T00:00:00Z,312,10.4,Canine,BPV,90,N,1068,17.8,3,Resident 2,0.49
2021-11-03T00:00:00Z,Archer,266052,15.3,2020-12-26T00:00:00Z,312,10.4,Canine,BPV,90,N,1068,17.8,3,Anesthesia,25.5
2021-11-04T00:00:00Z,Einstein,266908,36.1,2009-11-04T00:00:00Z,4383,146.1,Canine,PMI,66,N,102,1.7,4,Faculty,6.76
2021-11-04T00:00:00Z,Einstein,266908,36.1,2009-11-04T00:00:00Z,4383,146.1,Canine,PMI,66,N,102,1.7,4,Tech 1,0
2021-11-04T00:00:00Z,Einstein,266908,36.1,2009-11-04T00:00:00Z,4383,146.1,Canine,PMI,66,N,102,1.7,4,Resident 1,25.71
2021-11-04T00:00:00Z,Einstein,266908,36.1,2009-11-04T00:00:00Z,4383,146.1,Canine,PMI,66,N,102,1.7,4,Anesthesia,0
